"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EST","EMPINDUS","CONSTR","THND_PER","A","2017",56.975,
"ISR","EMPINDUS","AGR","THND_PER","A","2017",38.31667,
"ISR","EMPINDUS","CONSTR","THND_PER","A","2017",196.95,
"SVN","EMPINDUS","AGR","THND_PER","A","2017",53.025,
"SVN","EMPINDUS","CONSTR","THND_PER","A","2017",53.375,
"ZAF","EMPINDUS","AGR","THND_PER","A","2017",842.5589,
"ZAF","EMPINDUS","CONSTR","THND_PER","A","2017",1413.916,
"OECD","EMPINDUS","AGR","THND_PER","A","2017",30705.21,"B"
"OECD","EMPINDUS","CONSTR","THND_PER","A","2017",44100.98,"B"
"G-7","EMPINDUS","AGR","THND_PER","A","2017",7280.283,
"G-7","EMPINDUS","CONSTR","THND_PER","A","2017",25409.16,
"EA19","EMPINDUS","AGR","THND_PER","A","2017",4659.6,
"EA19","EMPINDUS","CONSTR","THND_PER","A","2017",9522.5,
"LVA","EMPINDUS","AGR","THND_PER","A","2017",61.425,
"LVA","EMPINDUS","CONSTR","THND_PER","A","2017",63.075,
"MEX","EMPINDUS","CONSTR","THND_PER","A","2017",4236.522,
"LTU","EMPINDUS","AGR","THND_PER","A","2017",105.45,
"LTU","EMPINDUS","CONSTR","THND_PER","A","2017",99,
"COL","EMPINDUS","AGR","THND_PER","A","2017",3702.142,
"COL","EMPINDUS","CONSTR","THND_PER","A","2017",1465.706,
"EU27_2020","EMPINDUS","AGR","THND_PER","A","2017",9514,
"EU27_2020","EMPINDUS","CONSTR","THND_PER","A","2017",12990.28,
"RUS","EMPINDUS","AGR","THND_PER","A","2017",4268.046,
"RUS","EMPINDUS","CONSTR","THND_PER","A","2017",5263.305,
"CRI","EMPINDUS","AGR","THND_PER","A","2017",256.5317,
"CRI","EMPINDUS","CONSTR","THND_PER","A","2017",133.4655,
